
# processes = 32 
# repetitions = 20 
# resolution = 1024 
# iterations = 10 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.127174,  0.004026, 0.003974
0.136464,  0.004266, 0.004265
0.123679,  0.003866, 0.003865
0.122423,  0.003827, 0.003826
0.122642,  0.003833, 0.003833
0.120067,  0.003754, 0.003752
0.114473,  0.003578, 0.003577
0.114593,  0.003582, 0.003581
0.114345,  0.003574, 0.003573
0.115789,  0.003619, 0.003618
0.114597,  0.003582, 0.003581
0.114076,  0.003566, 0.003565
0.114202,  0.003570, 0.003569
0.116108,  0.003630, 0.003628
0.114417,  0.003577, 0.003576
0.114330,  0.003575, 0.003573
0.114162,  0.003568, 0.003568
0.114348,  0.003574, 0.003573
0.113953,  0.003562, 0.003561
0.117604,  0.003689, 0.003675
