
# processes = 512 
# repetitions = 20 
# resolution = 1024 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
2.948959,  0.005809, 0.005760
2.482464,  0.004869, 0.004849
2.128755,  0.004168, 0.004158
2.305281,  0.004505, 0.004503
2.079002,  0.004063, 0.004061
1.957368,  0.003825, 0.003823
1.795244,  0.003510, 0.003506
2.019783,  0.003948, 0.003945
2.026344,  0.003961, 0.003958
2.211276,  0.004323, 0.004319
1.898479,  0.003724, 0.003708
1.882977,  0.003681, 0.003678
1.777907,  0.003483, 0.003472
3.837022,  0.007529, 0.007494
7.587583,  0.014828, 0.014819
2.555998,  0.004995, 0.004992
1.970130,  0.003852, 0.003848
2.291917,  0.004479, 0.004476
2.276971,  0.004449, 0.004447
2.318696,  0.004532, 0.004529
