
# processes = 4 
# repetitions = 20 
# resolution = 12 
# iterations = 100 

summed time [s], mean time per processor [s], maximum time per processor [s] 
0.003712,  0.000928, 0.000928
0.003493,  0.000873, 0.000873
0.003492,  0.000873, 0.000873
0.003479,  0.000870, 0.000870
0.003429,  0.000857, 0.000857
0.003553,  0.000888, 0.000888
0.003534,  0.000884, 0.000884
0.003428,  0.000857, 0.000857
0.003519,  0.000880, 0.000880
0.003545,  0.000886, 0.000886
0.003551,  0.000888, 0.000888
0.003707,  0.000927, 0.000927
0.003743,  0.000936, 0.000936
0.003617,  0.000904, 0.000904
0.004448,  0.001112, 0.001112
0.003677,  0.000919, 0.000919
0.003833,  0.000959, 0.000958
0.003633,  0.000908, 0.000908
0.003565,  0.000891, 0.000891
0.003578,  0.000894, 0.000894
