
# processes = 512 
# repetitions = 20 
# resolution = 10240 
# iterations = 50 

summed time [s], mean time per processor [s], maximum time per processor [s] 
73.714587,  0.144014, 0.143974
67.429971,  0.131714, 0.131699
65.473702,  0.127885, 0.127878
66.359781,  0.129617, 0.129609
70.770015,  0.138239, 0.138223
72.325037,  0.141265, 0.141260
66.758336,  0.130399, 0.130387
66.863561,  0.130612, 0.130593
67.105103,  0.131074, 0.131065
67.047029,  0.130959, 0.130951
67.386355,  0.131628, 0.131614
67.520102,  0.131883, 0.131875
80.736211,  0.157696, 0.157688
67.594184,  0.132028, 0.132020
68.419568,  0.133637, 0.133632
79.240426,  0.154778, 0.154766
68.080379,  0.132984, 0.132969
67.398162,  0.131644, 0.131637
67.692641,  0.132219, 0.132212
75.844283,  0.148141, 0.148133
